company_id,year,previous_pattern,new_pattern
LTIM,2014,Reinvestor,Shareholder Returns
LTIM,2015,Shareholder Returns,Reinvestor
MM,2015,Pre-Revenue,Growth Funded by Debt
MM,2019,Growth Funded by Debt,Pre-Revenue
MM,2021,Pre-Revenue,Growth Funded by Debt
MM,2022,Growth Funded by Debt,Reinvestor
MM,2023,Reinvestor,Pre-Revenue
MOTHERSON,2015,Reinvestor,Growth Funded by Debt
MOTHERSON,2016,Growth Funded by Debt,Reinvestor
MOTHERSON,2017,Reinvestor,Growth Funded by Debt
MOTHERSON,2018,Growth Funded by Debt,Reinvestor
MOTHERSON,2024,Reinvestor,Growth Funded by Debt
NAUKRI,2014,Reinvestor,Growth Funded by Debt
NAUKRI,2016,Growth Funded by Debt,Reinvestor
NAUKRI,2020,Reinvestor,Shareholder Returns
NAUKRI,2021,Shareholder Returns,Growth Funded by Debt
NESTLEIND,2019,Reinvestor,Shareholder Returns
NESTLEIND,2020,Shareholder Returns,Reinvestor
NHPC,2020,Reinvestor,Growth Funded by Debt
NHPC,2021,Growth Funded by Debt,Reinvestor
NTPC,2014,Growth Funded by Debt,Reinvestor
NTPC,2017,Reinvestor,Growth Funded by Debt
NTPC,2021,Growth Funded by Debt,Reinvestor
ONGC,2014,Reinvestor,Growth Funded by Debt
ONGC,2015,Growth Funded by Debt,Reinvestor
ONGC,2018,Reinvestor,Growth Funded by Debt
ONGC,2019,Growth Funded by Debt,Reinvestor
PFC,2015,Liquidating Assets,Pre-Revenue
PFC,2017,Pre-Revenue,Growth Funded by Debt
PFC,2018,Growth Funded by Debt,Liquidating Assets
PFC,2019,Liquidating Assets,Pre-Revenue
PFC,2021,Pre-Revenue,Liquidating Assets
PFC,2022,Liquidating Assets,Reinvestor
PFC,2023,Reinvestor,Pre-Revenue
PIDILITIND,2017,Reinvestor,Growth Funded by Debt
PIDILITIND,2018,Growth Funded by Debt,Shareholder Returns
PIDILITIND,2019,Shareholder Returns,Reinvestor
PIDILITIND,2020,Reinvestor,Shareholder Returns
PIDILITIND,2021,Shareholder Returns,Reinvestor
PNB,2014,Mixed,Growth Funded by Debt
PNB,2017,Growth Funded by Debt,Shareholder Returns
PNB,2018,Shareholder Returns,Liquidating Assets
PNB,2019,Liquidating Assets,Pre-Revenue
PNB,2021,Pre-Revenue,Growth Funded by Debt
PNB,2024,Growth Funded by Debt,Pre-Revenue
POWERGRID,2019,Growth Funded by Debt,Reinvestor
POWERGRID,2022,Reinvestor,Shareholder Returns
POWERGRID,2023,Shareholder Returns,Reinvestor
RECLTD,2016,Liquidating Assets,Pre-Revenue
RECLTD,2017,Pre-Revenue,Reinvestor
RECLTD,2018,Reinvestor,Liquidating Assets
RECLTD,2022,Liquidating Assets,Pre-Revenue
RELIANCE,2016,Growth Funded by Debt,Reinvestor
RELIANCE,2017,Reinvestor,Growth Funded by Debt
RELIANCE,2018,Growth Funded by Debt,Reinvestor
RELIANCE,2019,Reinvestor,Growth Funded by Debt
RELIANCE,2020,Growth Funded by Debt,Reinvestor
RELIANCE,2021,Reinvestor,Growth Funded by Debt
RELIANCE,2024,Growth Funded by Debt,Reinvestor
SBILIFE,2021,Reinvestor,Growth Funded by Debt
SBILIFE,2022,Growth Funded by Debt,Reinvestor
SBIN,2014,Reinvestor,Growth Funded by Debt
SBIN,2015,Growth Funded by Debt,Reinvestor
SBIN,2016,Reinvestor,Growth Funded by Debt
SBIN,2017,Growth Funded by Debt,Reinvestor
SBIN,2018,Reinvestor,Liquidating Assets
SBIN,2019,Liquidating Assets,Cash Accumulator
SBIN,2020,Cash Accumulator,Growth Funded by Debt
SBIN,2022,Growth Funded by Debt,Reinvestor
SBIN,2023,Reinvestor,Pre-Revenue
SBIN,2024,Pre-Revenue,Reinvestor
SHREECEM,2018,Reinvestor,Growth Funded by Debt
SHREECEM,2019,Growth Funded by Debt,Reinvestor
